#Index,X position (mm), Y position (mm), Length (um),Orientation #(deg), Area (Arbitrary)
318,-0.1938,0.5089,4.8467,72.445,135
319,-0.23665,0.5325,6.4376,-75.316,91
320,-0.24265,0.4733,4.8563,-76.691,117
321,-0.25825,0.4367,5.3866,-5.1778,185
322,-0.27055,0.56315,4.0704,-51.346,74
323,-0.30895,0.48135,8.9755,68.566,849
324,-0.32775,0.50955,7.6267,-82.966,594
325,-0.33945,0.54205,7.5972,27.311,371
326,-0.39065,0.4481,4.3444,-6.307,126
327,-0.39035,0.52425,5.2516,-49.803,236
328,-0.3942,0.4322,3.6362,-21.143,75
329,-0.421,0.44975,4.3564,-63.596,71
330,-0.42555,0.5626,5.6152,-81.976,96
331,-0.4416,0.43835,5.732,62.276,378
332,-0.4501,0.5461,6.3837,-87.364,131
333,-0.45235,0.44055,4.4539,74.336,146
334,-0.52535,0.4742,13.498,51.883,1631
335,-0.5706,0.5271,13.851,77.335,1835
336,-0.582,0.50685,11.178,-75.57,1185
337,-0.59235,0.44995,6.62,-22.398,492
338,-0.60125,0.56595,3.6866,3.8353,84
339,-0.60245,0.5052,3.8557,81.049,84
340,-0.605,0.46915,4.5698,-1.7645,200
341,-0.60605,0.55985,7.5613,73.897,179
342,-0.6107,0.4634,5.364,46.133,132
343,-0.61055,0.5109,4.0947,-53.847,82
344,-0.6214,0.50565,4.4382,-76.093,110
345,-0.6281,0.5477,6.8628,84.724,209
346,-0.64895,0.4719,5.0553,78.966,106
347,-0.6613,0.5423,6.9973,88.815,469
348,-0.677,0.5513,7.712,88.643,126
349,-0.76685,0.5598,7.2096,-55.33,230
350,-0.8145,0.4351,6.032,81.51,327
351,-0.6043,0.3139,5.3517,61.926,129
352,-0.60275,0.3985,3.8353,82.194,122
353,-0.605,0.39305,3.799,-7.4923,72
354,-0.6141,0.32385,4.6818,61.104,113
355,-0.6156,0.25255,3.3487,-20.675,71
356,-0.62655,0.24505,5.3506,12.175,84
357,-0.64795,0.2805,5.1625,63.375,266
358,-0.6598,0.2515,5.2373,-75.615,300
359,-0.66665,0.297,4.6532,76.81,94
360,-0.73655,0.30775,6.5896,78.47,278
361,-0.7558,0.275,5.5263,85.229,257
362,-0.7628,0.2689,5.3075,-85.295,221
363,-0.60395,0.1265,4.521,-69.437,95
364,-0.61,0.1905,4.9007,-2.4927,127
365,-0.6171,0.11875,5.7488,-6.4744,241
366,-0.6171,0.17765,3.7017,83.919,73
367,-0.62525,0.18325,5.0937,88.302,172
368,-0.62805,0.17315,4.1872,-33.365,144
369,-0.65885,0.2183,5.7222,-87.027,130
370,-0.67305,0.1599,5.7205,-88.087,123
371,-0.6911,0.24085,6.8833,-79.031,77
372,-0.69595,0.12395,4.2589,-11.325,128
373,-0.73125,0.10025,4.2897,-50.704,139
374,-0.766,0.12935,6.4212,-43.341,395
375,-0.8207,0.21295,6.7465,-23.023,148
376,-0.83325,0.184,7.1484,12.361,492
377,-0.8397,0.1853,6.6984,-89.701,182
378,-0.6095,0.05275,9.0001,-78.279,755
379,-0.61605,0.00325,7.9377,-83.271,523
380,-0.67005,-0.0707,7.5462,-43.85,609
381,-0.67345,0.02365,5.511,88.976,161
382,-0.67825,-0.0656,6.4332,2.3286,504
383,-0.6749,0.0631,5.4691,-75.943,80
384,-0.6915,0.0239,11.622,-73.994,483
385,-0.6937,0.0351,5.1496,-75.224,77
386,-0.7211,0.0553,6.4095,83.939,283
387,-0.7319,0.0249,6.3238,83.522,243
388,-0.75765,0.0668,3.5137,-59.064,77
389,-0.7627,0.07115,3.3288,-44.596,72
390,-0.7793,0.0737,3.3101,-39.397,74
391,-0.81005,-0.02535,5.0103,-29.08,87
392,-0.6041,-0.07685,3.9196,-38.31,119
393,-0.62125,-0.1525,5.1743,-19.065,164
394,-0.62795,-0.23405,6.6808,-12.623,397
395,-0.6474,-0.09355,6.3396,-19.116,356
396,-0.67675,-0.0803,6.5792,66.755,361
397,-0.74615,-0.19975,8.4893,-20.453,896
398,-0.7722,-0.19325,12.201,82.06,1738
399,-0.79705,-0.1832,6.2448,85.308,399
400,-0.602,-0.2344,6.7493,30.941,145
401,-0.602,-0.24225,5.4007,-88.838,121
402,-0.6048,-0.23675,4.5976,-14.302,74
403,-0.60645,-0.24245,4.5616,26.633,133
404,-0.62095,-0.29535,5.1511,-11.324,117
405,-0.6249,-0.2477,3.7201,-76.927,86
406,-0.6539,-0.358,3.5835,85.075,79
407,-0.70145,-0.24735,8.4277,86.682,742
408,-0.70125,-0.2625,5.5204,-70.303,75
409,-0.70675,-0.25785,8.6118,80.359,726
410,-0.71645,-0.38315,5.7152,-0.085855,339
411,-0.73575,-0.32555,9.6589,89.58,850
412,-0.809,-0.3425,7.2989,-86.415,526
413,-0.6026,-0.40015,10.82,86.793,480
414,-0.6066,-0.5211,4.9475,-18.179,126
415,-0.6097,-0.50325,5.3906,-13.102,212
416,-0.61065,-0.39505,3.6206,33.42,98
417,-0.6306,-0.498,4.6366,-10.926,79
418,-0.654,-0.51245,5.1704,-2.291,259
419,-0.6555,-0.44195,5.4158,-16.627,326
420,-0.66235,-0.5029,5.5367,-74.487,85
421,-0.69115,-0.49765,3.798,-35.982,71
422,-0.7218,-0.51735,3.6146,72.383,117
423,-0.76185,-0.44685,6.6229,-82.979,330
424,-0.80135,-0.45195,6.5397,-15.856,282
425,-0.3622,-0.398,9.2391,85.164,372
426,-0.36385,-0.48535,6.2585,64.06,192
427,-0.3624,-0.41045,3.5888,50.73,85
428,-0.3666,-0.5211,4.56,11.529,98
429,-0.37185,-0.446,5.1253,-13.191,208
430,-0.37875,-0.5519,5.1979,11.97,98
431,-0.379,-0.4121,4.6096,-72.885,107
432,-0.3803,-0.5011,3.8149,-8.5978,71
433,-0.38475,-0.55645,6.0629,22.805,88
434,-0.3845,-0.41545,6.3423,-43.693,387
435,-0.4059,-0.5366,4.2889,12.682,134
436,-0.4076,-0.47755,4.9839,75.531,272
